Source,Target,Type,Id,Label,Weight
G1055,B1727,Undirected,717,,29
G1055,V9008,Undirected,718,,30
G1055,M1207,Undirected,719,,33
G1055,G1068,Undirected,720,,22
G1055,V9010,Undirected,721,,35
G1055,S5005,Undirected,722,,24
G1055,S5006,Undirected,723,,21
G1055,S5050,Undirected,724,,20
G1055,B1779,Undirected,725,,18
G1055,G1062,Undirected,726,,19
G1055,G1056,Undirected,727,,15
G1055,M1204,Undirected,728,,27
G1055,S5046,Undirected,729,,27
G1055,G1029,Undirected,730,,16
G1055,V9018,Undirected,731,,24
G1055,G1034,Undirected,732,,18
G1055,V9025,Undirected,733,,23
G1055,S5002,Undirected,734,,27
G1055,G1060,Undirected,735,,32
G1055,S5036,Undirected,736,,31
G1055,B1729,Undirected,737,,34
G1055,G1022,Undirected,738,,29
G1055,B1731,Undirected,739,,35
G1055,N6005,Undirected,740,,35
G1055,B1783,Undirected,741,,43
G1055,V9006,Undirected,742,,26
G1055,V9004,Undirected,743,,33
G1055,V9009,Undirected,744,,22
G1055,V9005,Undirected,745,,28
G1055,B1728,Undirected,746,,34
G1055,M1202,Undirected,747,,32
G1055,G1058,Undirected,748,,21
G1055,V9017,Undirected,749,,20
G1055,G1053,Undirected,750,,22
G1055,M1206,Undirected,751,,26
G1055,V9027,Undirected,752,,20
G1055,G1018,Undirected,753,,22
G1055,G1054,Undirected,754,,24
G1055,S5017,Undirected,755,,24
G1055,S5007,Undirected,756,,25
G1055,G1059,Undirected,757,,17
G1055,B1789,Undirected,758,,23
G1055,S5019,Undirected,759,,27
G1055,N6002,Undirected,760,,35
G1055,N6006,Undirected,761,,37
G1055,M1205,Undirected,762,,25
G1055,G1020,Undirected,763,,25
G1055,B1735,Undirected,764,,32
G1055,S5015,Undirected,765,,21
G1055,V9007,Undirected,766,,25
G1055,B1793,Undirected,767,,25
G1055,S5027,Undirected,768,,13
G1055,B1736,Undirected,769,,27
G1055,G1052,Undirected,770,,28
G1055,V9011,Undirected,771,,25
